Требование,Действие,От кого,Соединение (API),Куда,Передаваемые параметры,Ссылка на документацию
ФТ-022,Регистрация пользователя и отправка письма благодарности,Битрикс,POST /emails/send,Сервис интеграции,"email(адрес электронной почты регистрируемого пользователя),name(имя пользователя),agree_newsletter(флаг согласия на рассылку),registration_date(дата регистрации)",
ФТ-022,Добавление email в рассылку (если согласие получено),Сервис интеграции,POST /api/subscribers,Unisender,"email(адрес для подписки),list_id(идентификатор списка рассылки),source(источник: 'registration'),timestamp(время подписки)",https://www.unisender.com/ru/support/api/contact/importcontacts/
ФТ-022,Отправка письма благодарности за регистрацию,Сервис интеграции,POST /email/send,UnisenderGo,"template_id='FT-022'(идентификатор шаблона письма),recipient_email(адрес получателя письма),vars={name}(переменные для подстановки в письмо)",https://godocs.unisender.ru/web-api-ref#email-send
ФТ-021,Напоминание создать Событие через 7 дней,Битрикс,POST /emails/send,Сервис интеграции,"user_id(уникальный идентификатор пользователя),email(адрес пользователя),registration_date(дата регистрации для расчета 7-дневного периода),event_exists(был ли создан event)",
ФТ-021,Отправка письма с предложением создать Событие,Сервис интеграции,POST /email/send,UnisenderGo,"template_id='FT-021'(идентификатор шаблона),recipient_email(адрес получателя),vars={user_name}(имя пользователя)",https://godocs.unisender.ru/web-api-ref#email-send
ФТ-024,Создание События и отправка его на модерацию,Битрикс,POST /events/moderation-notice,Сервис интеграции,"event_id(уникальный идентификатор события),event_name(название события),event_creator_email(email создателя события),event_description(описание события),images_count(количество изображений),target_amount(целевая сумма сбора)",
ФТ-024,Отправка письма о событии на модерацию,Сервис интеграции,POST /email/send,UnisenderGo,"template_id='FT-024'(идентификатор шаблона),recipient_email(email создателя события),vars={event_name, event_id}(название события и его ID)",https://godocs.unisender.ru/web-api-ref#email-send
ФТ-025,Одобрение События администратором,Администратор,POST /events/{event_id}/approve,Сервис интеграции,"event_id(идентификатор события для одобрения),admin_id(идентификатор администратора),comment(комментарий администратора)",
ФТ-025,Обновление статуса события в Битриксе (одобрено),Сервис интеграции,Webhook:event.approved,Битрикс,"event_id(идентификатор события),status='published'(новый статус),updated_at(время обновления),approved_by(ID администратора)",
ФТ-025,Отправка письма об одобрении События,Сервис интеграции,POST /email/send,UnisenderGo,"template_id='FT-025'(идентификатор шаблона одобрения),recipient_email(email создателя события),vars={event_name, event_url}(название события и ссылка на него)",https://godocs.unisender.ru/web-api-ref#email-send
ФТ-026,Отклонение События администратором,Администратор,POST /events/{event_id}/reject,Сервис интеграции,"event_id(идентификатор события для отклонения),admin_id(идентификатор администратора),rejection_reason(основная причина отклонения),comment(детальный комментарий администратора)",
